,dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,status,status_desc,crm_cd_1,crm_cd_2,location,lat,lon,weapon_used_cd,weapon_desc,cross_street,crm_cd_3,crm_cd_4
0,191501505,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1730,15,N Hollywood,1543,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,76,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,745.0,998.0,5400    CORTEEN                      PL,34.1685,-118.4019,,,,,
1,191921269,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,415,19,Mission,1998,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,31,X,X,409.0,BEAUTY SUPPLY STORE,IC,Invest Cont,740.0,,14400    TITUS                        ST,34.2198,-118.4468,,,,,
2,200104020,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,245,1,Central,153,1,350,"THEFT, PERSON",0344 0416 0446 1822,44,M,B,102.0,SIDEWALK,IC,Invest Cont,350.0,624.0,6TH                          ST,34.0463,-118.2515,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",SPRING                       ST,,
3,200104024,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,325,1,Central,134,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,41,M,A,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740.0,,4TH                          ST,34.0503,-118.2504,,,HILL                         ST,,
4,200104027,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,30,1,Central,182,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0421 1822,57,M,O,108.0,PARKING LOT,IC,Invest Cont,930.0,,700 W  9TH                          ST,34.0458,-118.2614,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
5,200104033,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,230,1,Central,143,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,25,M,W,101.0,STREET,IC,Invest Cont,626.0,,400 S  HILL                         ST,34.0503,-118.2504,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
6,200104035,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,230,1,Central,111,1,310,BURGLARY,0344 1822 1414 1605,34,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,310.0,,700    YALE                         ST,34.0612,-118.2417,,,,,
7,200104036,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,500,1,Central,119,2,860,BATTERY WITH SEXUAL CONTACT,1218 1822 0910 0522 0408 0448 2015 1000,18,F,B,900.0,MTA - RED LINE - UNION STATION,IC,Invest Cont,860.0,,800 N  ALAMEDA                      ST,34.0563,-118.2374,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
8,200104038,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1200,1,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0337 0340 0416 0445 1822 1218 2021 1019,57,M,B,102.0,SIDEWALK,IC,Invest Cont,230.0,,7TH,34.0401,-118.2459,500.0,UNKNOWN WEAPON/OTHER WEAPON,SAN PEDRO,,
9,200104039,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,344,1,Central,162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,55,M,H,203.0,OTHER BUSINESS,IC,Invest Cont,745.0,,800 W  7TH                          ST,34.0487,-118.2588,,,,,
10,200104041,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1030,1,Central,192,1,480,BIKE - STOLEN,1822 2032 0344,23,M,A,210.0,RESTAURANT/FAST FOOD,IC,Invest Cont,480.0,,HILL,34.032,-118.2657,,,WASHINGTON,,
11,200104043,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1200,1,Central,112,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1218,55,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745.0,,ALISO,34.0561,-118.2415,,,SPRING,,
12,200104047,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,905,1,Central,153,2,623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,0,X,X,902.0,MTA - RED LINE - PERSHING SQUARE,IC,Invest Cont,623.0,,500 S  HILL                         ST,34.0488,-118.2518,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
13,200104048,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,905,1,Central,153,2,623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,0,X,X,902.0,MTA - RED LINE - PERSHING SQUARE,IC,Invest Cont,623.0,,500 S  HILL                         ST,34.0488,-118.2518,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",,,
14,200104051,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,200,1,Central,161,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,22,F,A,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),IC,Invest Cont,440.0,,800    FRANCISCO                    ST,34.0487,-118.2627,,,,,
15,200104063,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2030,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,55,F,O,108.0,PARKING LOT,IC,Invest Cont,341.0,,600 W  9TH                          ST,34.0462,-118.2585,,,,,
16,200104065,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1830,1,Central,118,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1609,55,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,745.0,,300 E  ANN                          ST,34.0639,-118.2306,,,,,
17,200104066,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,2315,1,Central,182,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 0910,0,X,X,122.0,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,745.0,,9TH                          ST,34.0444,-118.2593,,,GRAND                        AV,,
18,200104076,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,300,1,Central,153,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2034 1822,57,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,341.0,,300 W  5TH                          ST,34.0481,-118.2507,,,,,
19,200104302,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,1,1,Central,153,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,25,F,F,207.0,BAR/COCKTAIL/NIGHTCLUB,IC,Invest Cont,440.0,,500 S  SPRING                       ST,34.0467,-118.252,,,,,
